Date	P	E	Q	Tmax	Tmin
1960-07-31	0.62	3.536	0.9135	29.6	15.2056
1960-08-01	1.7	3.521	0.8578	29.8056	15.7
1960-08-02	2.6	3.505	0.8906	30.4056	16.4111
1960-08-03	2.96	3.489	0.9712	30.5	16.6
1960-08-04	3.42	3.472	0.9135	30.1889	18.0611
1960-08-05	3.99	3.455	0.9364	28.8056	17.6167
1960-08-06	5.06	3.438	0.9016	29.15	16.8
1960-08-07	10.51	3.42	1.1344	28.7	17.2611
1960-08-08	6.12	3.402	1.1643	29.0444	16.8389
1960-08-09	14.15	3.384	1.0747	29.8333	17.2389
1960-08-10	16.36	3.365	1.9205	28.0778	17.0722
1960-08-11	22.72	3.346	2.4877	23.4056	17.7611
1960-08-12	62.83	3.327	3.8908	23.6111	17.0278
1960-08-13	9.93	3.307	7.7916	26.3778	17.3667
1960-08-14	5.3	3.287	6.0701	27.85	16.2667
1960-08-15	2.04	3.267	3.5127	27.6944	16.1889
1960-08-16	2.76	3.246	2.5276	28.5278	15.4611
1960-08-17	2.04	3.225	2.2091	26.45	16.4722
1960-08-18	6.87	3.204	2.1395	26.25	16.1833
1960-08-19	5.72	3.182	2.5475	27.1833	15.7167
1960-08-20	1.96	3.161	2.438	27.8722	15.7611
1960-08-21	8.35	3.139	1.8111	27.6667	16.1111
1960-08-22	9.29	3.116	1.7215	25.8222	17.6278
1960-08-23	0.74	3.094	2.2589	26.7222	17.7167
1960-08-24	2.35	3.071	1.9902	26.6944	15.0333
1960-08-25	0.11	3.048	1.7016	24.7	15.8056
1960-08-26	0.03	3.025	1.4528	26.1889	13.4611
1960-08-27	0.7	3.001	1.2936	27.5833	15.7778
1960-08-28	0.29	2.977	1.2538	29.1944	15.9556
1960-08-29	0.75	2.954	1.1941	28.6778	16.5333
1960-08-30	0.95	2.929	1.1444	30.5056	15.7667
1960-08-31	2.58	2.905	1.1046	29.3278	16.6
1960-09-01	16.28	2.88	1.3434	27.4	17.3944
1960-09-02	3.99	2.856	1.6021	28.4333	16.1111
1960-09-03	1.31	2.831	1.5325	28.1556	14.8667
1960-09-04	5.44	2.806	1.4528	28.5667	16.2722
1960-09-05	1.01	2.78	1.3633	29.6111	15.3944
1960-09-06	2.93	2.755	1.1444	30.5167	15.5889
1960-09-07	1.49	2.729	1.0648	26.8056	18.0611
1960-09-08	1.8	2.704	1.0548	26.5944	17.3833
1960-09-09	0.89	2.678	1.0051	28.1722	16.7056
1960-09-10	7.46	2.652	1.015	27.6778	16.3889
1960-09-11	2.63	2.626	1.1444	25.4056	16.45
1960-09-12	0.03	2.599	1.0648	23.4389	15.0278
1960-09-13	0	2.573	0.9593	22.1111	9.1889
1960-09-14	0	2.547	0.8906	20.3667	5.5222
1960-09-15	0.04	2.52	0.8468	21.15	8.9722
1960-09-16	9.46	2.494	0.8687	20.5222	14.3667
1960-09-17	7.34	2.467	0.9712	19.3722	13.8222
1960-09-18	7.02	2.44	1.4628	25.1167	15.6056
1960-09-19	0.95	2.413	1.4031	26.9444	15.6889
1960-09-20	0.12	2.386	1.224	27.0611	13.1833
1960-09-21	0.01	2.36	1.0847	26.4944	11.5111
1960-09-22	0.48	2.333	0.9712	22.85	14.4167
1960-09-23	0.02	2.306	0.9473	23.4556	14.2611
1960-09-24	0.02	2.279	0.9254	22.6889	10.7389
1960-09-25	0.01	2.252	0.8578	21.6444	10.7611
1960-09-26	0.05	2.225	0.7921	21.7556	9.35
1960-09-27	9.14	2.198	0.8359	17.2944	10.3722
1960-09-28	17.93	2.171	1.1941	17.65	11.8722
1960-09-29	10.7	2.144	1.5723	21.3722	12.8722
1960-09-30	0.09	2.117	1.6121	24.1944	13.3833
1960-10-01	0.01	2.09	1.2439	24.2667	9.5056
1960-10-02	0.2	2.063	1.0449	24.3889	13.0444
1960-10-03	16.91	2.036	1.214	25.8722	12.2278
1960-10-04	4.64	2.01	1.9106	23.2833	10.4222
1960-10-05	13.35	1.983	1.4329	21.6056	10.6167
1960-10-06	12.83	1.956	2.2489	22.6222	13.5111
1960-10-07	6.86	1.93	2.4479	19.8611	14.6111
1960-10-08	19.78	1.903	2.7365	19.1444	13.6611
1960-10-09	8.95	1.877	3.3535	22.1111	12.6333
1960-10-10	0.21	1.851	2.9256	22.1722	11.9667
1960-10-11	0	1.825	2.1992	23.1833	9.0444
1960-10-12	0.38	1.799	1.8409	24.9611	6.8222
1960-10-13	0.12	1.773	1.632	24.6222	8.6611
1960-10-14	0.03	1.747	1.5026	23.8389	9.8167
1960-10-15	0.04	1.722	1.3633	22.2667	10.9056
1960-10-16	0.73	1.696	1.2737	23.8	10.1667
1960-10-17	0	1.671	1.224	22.7833	10.4278
1960-10-18	0.04	1.646	1.224	22.5833	7.5
1960-10-19	5.92	1.621	1.1742	19.7889	8.0889
1960-10-20	15.82	1.596	1.7016	15.7444	7.7222
