Date P PET Q
1949-01-05 25.17 0.639 3.5499
1949-01-06 1.48 0.644 3.1196
1949-01-07 0 0.649 2.6739
1949-01-08 0 0.655 2.5049
1949-01-09 0 0.661 2.551
1949-01-10 0.03 0.668 2.8583
1949-01-11 0.81 0.676 3.3194
1949-01-12 3.01 0.684 3.0428
1949-01-13 0 0.692 2.5049
1949-01-14 0 0.702 1.9517
1949-01-15 0.02 0.711 1.6597
1949-01-16 0.07 0.722 1.506
1949-01-17 0.17 0.733 1.3831
1949-01-18 0.24 0.744 1.3216
1949-01-19 0.58 0.756 1.3216
1949-01-20 3.64 0.769 1.2663
1949-01-21 41.16 0.782 1.211
1949-01-22 4.14 0.795 1.6597
1949-01-23 1.48 0.809 2.2437
1949-01-24 0.9 0.824 2.7969
1949-01-25 0.17 0.839 3.7804
1949-01-26 6.29 0.855 5.3479
1949-01-27 4.15 0.872 5.4708
1949-01-28 0.73 0.888 4.4258
1949-01-29 0 0.906 3.3962
1949-01-30 1.81 0.923 2.8583
1949-01-31 23.9 0.942 2.551
1949-02-01 0 0.961 2.5049
1949-02-02 0.05 0.98 2.551
1949-02-03 0 1 2.5049
1949-02-04 3.81 1.02 2.5049
1949-02-05 0.09 1.041 2.5049
1949-02-06 0 1.062 2.551
1949-02-07 6.01 1.084 2.551
1949-02-08 0 1.106 2.551
1949-02-09 0.5 1.128 2.551
1949-02-10 7.12 1.151 2.551
1949-02-11 0.06 1.175 2.551
1949-02-12 0.16 1.199 2.3973
1949-02-13 0.03 1.223 2.2898
1949-02-14 2.09 1.248 2.1514
1949-02-15 2.8 1.273 1.9824
1949-02-16 9.34 1.298 1.8748
1949-02-17 0 1.324 1.8748
1949-02-18 1.5 1.351 1.9517
1949-02-19 3.81 1.377 2.0285
1949-02-20 1.39 1.404 2.0592
1949-02-21 2.54 1.432 2.0285
1949-02-22 3.76 1.46 1.9056
1949-02-23 0 1.488 1.9056
1949-02-24 0.01 1.516 1.8287
1949-02-25 0.03 1.545 1.7673
1949-02-26 0.39 1.574 1.6597
1949-02-27 4.6 1.603 1.5982
1949-02-28 12.1 1.633 1.5982
1949-03-01 0 1.663 1.6597
1949-03-02 0 1.693 1.7673
1949-03-03 0 1.724 1.8287
1949-03-04 0.02 1.755 1.8287
1949-03-05 0.25 1.786 1.8287
1949-03-06 0.61 1.817 1.7365
1949-03-07 0.09 1.848 1.5982
1949-03-08 0.09 1.88 1.4753
1949-03-09 1.75 1.912 1.3523
1949-03-10 6.7 1.944 1.2663
1949-03-11 1.04 1.977 1.4138
1949-03-12 0 2.009 1.5367
1949-03-13 0 2.042 1.5367
1949-03-14 0.35 2.075 1.4138
1949-03-15 0.32 2.108 1.2663
1949-03-16 0 2.141 1.1833
1949-03-17 0 2.175 1.128
1949-03-18 17.73 2.208 1.1833
1949-03-19 0 2.242 1.4138
1949-03-20 0.01 2.276 1.5675
1949-03-21 0.51 2.31 1.6597
1949-03-22 15.4 2.344 1.6597
1949-03-23 13.43 2.378 1.7673
1949-03-24 0.56 2.412 2.0592
1949-03-25 2.04 2.446 2.3359
1949-03-26 0.3 2.48 2.8583
1949-03-27 0.37 2.515 3.3962
1949-03-28 0.3 2.549 3.6267
1949-03-29 0.08 2.583 3.2579
1949-03-30 1.07 2.618 2.6739
1949-03-31 4.36 2.652 2.0592
1949-04-01 0.68 2.686 1.6904
1949-04-02 0.11 2.721 1.5367
1949-04-03 1.32 2.755 1.4445
1949-04-04 3.61 2.789 1.3523
1949-04-05 14.02 2.823 1.2663
1949-04-06 1.27 2.857 1.3216
1949-04-07 2.91 2.892 1.4138
1949-04-08 0.04 2.926 1.5675
1949-04-09 0 2.959 1.629
1949-04-10 0 2.993 1.629
1949-04-11 0.02 3.027 1.5675
1949-04-12 1.5 3.061 1.2939
1949-04-13 13.03 3.094 1.1556
1949-04-14 3.52 3.127 1.1833
1949-04-15 0.09 3.16 1.3523
1949-04-16 0 3.193 1.5982
1949-04-17 1.1 3.226 1.7365
1949-04-18 7.27 3.259 1.6904
1949-04-19 0.04 3.291 1.5675
1949-04-20 0.03 3.324 1.4138
1949-04-21 1.39 3.356 1.2663
1949-04-22 8.89 3.388 1.211
1949-04-23 0.1 3.419 1.2386
1949-04-24 0.04 3.451 1.3523
1949-04-25 0 3.482 1.2939
1949-04-26 0.76 3.513 1.1833
1949-04-27 2.23 3.543 1.045
1949-04-28 0.13 3.574 0.9958
1949-04-29 0 3.604 0.9958
1949-04-30 0.52 3.634 0.9466
1949-05-01 8.7 3.663 0.922
1949-05-02 22.99 3.692 0.8975
1949-05-03 0.11 3.721 1.3523
1949-05-04 0 3.75 1.7673
1949-05-05 0 3.778 1.9056
1949-05-06 3.07 3.806 1.9056
1949-05-07 7.43 3.834 1.9056
1949-05-08 2.15 3.861 1.9824
1949-05-09 11.9 3.888 1.6597
1949-05-10 5.83 3.914 1.3216
1949-05-11 12.71 3.94 1.5675
1949-05-12 0 3.966 2.1514
1949-05-13 0.33 3.991 2.3359
1949-05-14 1.4 4.016 2.3973
1949-05-15 6.09 4.04 2.3359
1949-05-16 0 4.064 2.3973
1949-05-17 0 4.088 2.2898
1949-05-18 0.39 4.111 1.7365
1949-05-19 2.17 4.134 1.2386
1949-05-20 0.1 4.156 1.0204
1949-05-21 8.67 4.178 0.8729
1949-05-22 8.77 4.2 0.922
1949-05-23 1.55 4.221 1.1556
1949-05-24 6.12 4.241 1.2663
1949-05-25 0.69 4.261 1.1003
1949-05-26 3.87 4.281 0.9466
1949-05-27 0.15 4.3 0.8729
1949-05-28 0.88 4.318 0.8483
1949-05-29 0 4.336 0.7991
1949-05-30 0 4.354 0.7269
1949-05-31 0 4.371 0.6577
1949-06-01 0 4.387 0.5886
1949-06-02 0 4.403 0.5548
1949-06-03 0 4.419 0.5225
1949-06-04 0.08 4.434 0.501
